"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15205","Edit and delete work shift","chromium","Fri Jul 04 13:37:34 ICT 2025","passed","Fri Jul 04 13:37:49 ICT 2025","Work Shift Tests","work_shift\work_shift.spec.ts","",""
"","6913","Export excel by all current month","chromium","Fri Jul 04 13:33:27 ICT 2025","passed","Fri Jul 04 13:33:34 ICT 2025","Paysheet Tests","salary\paysheet.spec.ts","",""
"","7706","Export excel by only one paysheet","chromium","Fri Jul 04 13:33:46 ICT 2025","passed","Fri Jul 04 13:33:54 ICT 2025","Paysheet Tests","salary\paysheet.spec.ts","",""
"","11427","Add shift plan for department","chromium","Fri Jul 04 13:35:44 ICT 2025","passed","Fri Jul 04 13:35:55 ICT 2025","Shift Plan Tests","work_shift\shift_plan.spec.ts","",""
"","8198","Edit status","chromium","Fri Jul 04 12:58:35 ICT 2025","passed","Fri Jul 04 12:58:43 ICT 2025","Term Tests","contract\term.spec.ts","",""
"","14227","Admin closes paysheet and completes payment","chromium","Fri Jul 04 13:32:45 ICT 2025","passed","Fri Jul 04 13:32:59 ICT 2025","Paysheet Tests","salary\paysheet.spec.ts","",""
"","7167","Search by name","chromium","Fri Jul 04 13:16:42 ICT 2025","passed","Fri Jul 04 13:16:49 ICT 2025","Position Tests","position.spec.ts","",""
"","9156","Create allowance type monthly with valid data","chromium","Fri Jul 04 13:23:59 ICT 2025","passed","Fri Jul 04 13:24:08 ICT 2025","Allowance Tests","salary\allowance.spec.ts","",""
"","9093","Create with duplicate short name","chromium","Fri Jul 04 12:54:09 ICT 2025","passed","Fri Jul 04 12:54:18 ICT 2025","Branch Test","branch.spec.ts","",""
"","8259","Add debt with value already exists","chromium","Fri Jul 04 13:26:16 ICT 2025","passed","Fri Jul 04 13:26:24 ICT 2025","Debt Tests","salary\debt.spec.ts","",""
"","7176","Max length of allowance over 255 characters","chromium","Fri Jul 04 13:24:34 ICT 2025","passed","Fri Jul 04 13:24:41 ICT 2025","Allowance Tests","salary\allowance.spec.ts","",""
"","8366","Maxleght team name 255 characters","chromium","Fri Jul 04 13:34:53 ICT 2025","passed","Fri Jul 04 13:35:02 ICT 2025","Team","team.spec.ts","",""
"","9518","Create reward with empty description and note","chromium","Fri Jul 04 13:20:54 ICT 2025","passed","Fri Jul 04 13:21:04 ICT 2025","Reward Employee Tests","reward\reward_employee.spec.ts","",""
"","10758","Add with role department management","chromium","Fri Jul 04 13:03:09 ICT 2025","passed","Fri Jul 04 13:03:20 ICT 2025","Employee Tests","employee.spec.ts","",""
"","6967","Create Criteria without any field","chromium","Fri Jul 04 13:04:20 ICT 2025","passed","Fri Jul 04 13:04:27 ICT 2025","Evaluation Criteria Tests","evaluation\evaluation_criteria.spec.ts","",""
"","11995","Create contract with probation","chromium","Fri Jul 04 12:56:53 ICT 2025","passed","Fri Jul 04 12:57:05 ICT 2025","Contract Tests","contract\contract.spec.ts","",""
"","6719","Search by name","chromium","Fri Jul 04 13:13:22 ICT 2025","passed","Fri Jul 04 13:13:28 ICT 2025","Level Test Suite","level.spec.ts","",""
"","8452","Edit evaluation type","chromium","Fri Jul 04 13:05:27 ICT 2025","passed","Fri Jul 04 13:05:36 ICT 2025","Evaluation Criteria Tests","evaluation\evaluation_process.spec.ts","",""
"","7131","Delete position successfully","chromium","Fri Jul 04 13:17:05 ICT 2025","passed","Fri Jul 04 13:17:12 ICT 2025","Position Tests","position.spec.ts","",""
"","2489","Login Unsuccessful With Invalid Password","chromium","Fri Jul 04 13:14:14 ICT 2025","passed","Fri Jul 04 13:14:17 ICT 2025","Login Tests","login.spec.ts","",""
"","10823","Create with collaborator contract","chromium","Fri Jul 04 12:57:27 ICT 2025","passed","Fri Jul 04 12:57:38 ICT 2025","Contract Tests","contract\contract.spec.ts","",""
"","9029","Edit lock status to active status","chromium","Fri Jul 04 13:12:19 ICT 2025","passed","Fri Jul 04 13:12:28 ICT 2025","Level Test Suite","level.spec.ts","",""
"","19621","E2E reward employee - manager send reward to admin reject","chromium","Fri Jul 04 13:19:58 ICT 2025","passed","Fri Jul 04 13:20:17 ICT 2025","Reward Employee Tests","reward\reward_employee.spec.ts","",""
"","9885","Search by status","chromium","Fri Jul 04 12:59:12 ICT 2025","passed","Fri Jul 04 12:59:22 ICT 2025","Term Tests","contract\term.spec.ts","",""
"","7813","Save with empty data","chromium","Fri Jul 04 13:23:26 ICT 2025","passed","Fri Jul 04 13:23:34 ICT 2025","Allowance Tests","salary\allowance.spec.ts","",""
"","8477","Edit code with duplicate code","chromium","Fri Jul 04 13:12:52 ICT 2025","passed","Fri Jul 04 13:13:00 ICT 2025","Level Test Suite","level.spec.ts","",""
"Tạo loại đánh giá với trạng thái khóa và kiểm tra tồn tại trong database.","8279","Add evaluation type with lock status","chromium","Fri Jul 04 13:06:39 ICT 2025","passed","Fri Jul 04 13:06:47 ICT 2025","Evaluation Type Tests","evaluation\evaluation_type.spec.ts","",""
"","6805","Delete department successfully","chromium","Fri Jul 04 13:01:03 ICT 2025","passed","Fri Jul 04 13:01:10 ICT 2025","Department Test","department.spec.ts","",""
"","8045","Edit position name and note successfully","chromium","Fri Jul 04 13:16:33 ICT 2025","passed","Fri Jul 04 13:16:42 ICT 2025","Position Tests","position.spec.ts","",""
"","4347","Login Successful With Employee Account","chromium","Fri Jul 04 13:13:56 ICT 2025","passed","Fri Jul 04 13:14:01 ICT 2025","Login Tests","login.spec.ts","",""
"","18934","Add leave application with maternity leave and send to admin -> admin approve","chromium","Fri Jul 04 13:09:05 ICT 2025","passed","Fri Jul 04 13:09:24 ICT 2025","Leave Application Tests","leave\leave_application.spec.ts","",""
"","8492","Edit money","chromium","Fri Jul 04 13:26:24 ICT 2025","passed","Fri Jul 04 13:26:32 ICT 2025","Debt Tests","salary\debt.spec.ts","",""
"","2518","Login Unsuccessful With Empty Credentials","chromium","Fri Jul 04 13:14:04 ICT 2025","passed","Fri Jul 04 13:14:07 ICT 2025","Login Tests","login.spec.ts","",""
"","9265","Create with lock status","chromium","Fri Jul 04 13:11:13 ICT 2025","passed","Fri Jul 04 13:11:22 ICT 2025","Level Test Suite","level.spec.ts","",""
"","2116","Test forgot password with empty email","chromium","Fri Jul 04 13:07:00 ICT 2025","passed","Fri Jul 04 13:07:02 ICT 2025","Forgot Password Test Suite","forgot_password.spec.ts","",""
"","8881","Search by employee name and year","chromium","Fri Jul 04 13:11:04 ICT 2025","passed","Fri Jul 04 13:11:13 ICT 2025","Leave Management Tests","leave\leave_management.spec.ts","",""
"","13734","Search by status","chromium","Fri Jul 04 13:21:55 ICT 2025","passed","Fri Jul 04 13:22:09 ICT 2025","Reward Employee Tests","reward\reward_employee.spec.ts","",""
"","21363","Search resignation requests","chromium","Fri Jul 04 13:19:00 ICT 2025","passed","Fri Jul 04 13:19:21 ICT 2025","Resignation Tests","regisnation.spec.ts","",""
"","9461","Search by status","chromium","Fri Jul 04 13:01:23 ICT 2025","passed","Fri Jul 04 13:01:32 ICT 2025","Department Test","department.spec.ts","",""
"","8536","Delete allowance","chromium","Fri Jul 04 13:25:34 ICT 2025","passed","Fri Jul 04 13:25:42 ICT 2025","Allowance Tests","salary\allowance.spec.ts","",""
"","8730","Create allowance type daily with valid data","chromium","Fri Jul 04 13:23:34 ICT 2025","passed","Fri Jul 04 13:23:43 ICT 2025","Allowance Tests","salary\allowance.spec.ts","",""
"","7417","Add debt with empty value","chromium","Fri Jul 04 13:26:00 ICT 2025","passed","Fri Jul 04 13:26:07 ICT 2025","Debt Tests","salary\debt.spec.ts","",""
"","8852","Create with lock status","chromium","Fri Jul 04 13:15:43 ICT 2025","passed","Fri Jul 04 13:15:52 ICT 2025","Position Tests","position.spec.ts","",""
"","7698","Edit name with duplicate name","chromium","Fri Jul 04 13:12:44 ICT 2025","passed","Fri Jul 04 13:12:52 ICT 2025","Level Test Suite","level.spec.ts","",""
"","10720","Search by status","chromium","Fri Jul 04 12:56:42 ICT 2025","passed","Fri Jul 04 12:56:52 ICT 2025","Branch Test","branch.spec.ts","",""
"","7224","Save without any information","chromium","Fri Jul 04 13:03:30 ICT 2025","passed","Fri Jul 04 13:03:37 ICT 2025","Employee Tests","employee.spec.ts","",""
"","7686","Create a new team with existing team code","chromium","Fri Jul 04 13:34:09 ICT 2025","passed","Fri Jul 04 13:34:17 ICT 2025","Team","team.spec.ts","",""
"","7630","Max length of note over 500 characters","chromium","Fri Jul 04 13:24:49 ICT 2025","passed","Fri Jul 04 13:24:57 ICT 2025","Allowance Tests","salary\allowance.spec.ts","",""
"","9905","Edit branch name","chromium","Fri Jul 04 12:55:09 ICT 2025","passed","Fri Jul 04 12:55:19 ICT 2025","Branch Test","branch.spec.ts","",""
"","8185","Add reward type with valid data","chromium","Fri Jul 04 13:22:16 ICT 2025","passed","Fri Jul 04 13:22:25 ICT 2025","Reward Type Tests","reward\reward_type.spec.ts","",""
"","8410","Create duplicate allowance name","chromium","Fri Jul 04 13:23:43 ICT 2025","passed","Fri Jul 04 13:23:51 ICT 2025","Allowance Tests","salary\allowance.spec.ts","",""
"","7763","Edit department note successfully","chromium","Fri Jul 04 13:00:47 ICT 2025","passed","Fri Jul 04 13:00:55 ICT 2025","Department Test","department.spec.ts","",""
"","11956","Edit resignation reason","chromium","Fri Jul 04 13:17:24 ICT 2025","passed","Fri Jul 04 13:17:36 ICT 2025","Resignation Tests","regisnation.spec.ts","",""
"","6574","Search Paysheet","chromium","Fri Jul 04 13:32:59 ICT 2025","passed","Fri Jul 04 13:33:05 ICT 2025","Paysheet Tests","salary\paysheet.spec.ts","",""
"","31636","E2E - Complete resignation reject process","chromium","Fri Jul 04 13:17:47 ICT 2025","passed","Fri Jul 04 13:18:19 ICT 2025","Resignation Tests","regisnation.spec.ts","",""
"","12816","Edit lock status to active status","chromium","Fri Jul 04 12:54:56 ICT 2025","passed","Fri Jul 04 12:55:09 ICT 2025","Branch Test","branch.spec.ts","",""
"","7781","Edit allowance name","chromium","Fri Jul 04 13:24:57 ICT 2025","passed","Fri Jul 04 13:25:04 ICT 2025","Allowance Tests","salary\allowance.spec.ts","",""
"","9988","Search by allowance type","chromium","Fri Jul 04 13:25:50 ICT 2025","passed","Fri Jul 04 13:26:00 ICT 2025","Allowance Tests","salary\allowance.spec.ts","",""
"","31866","E2E - Complete resignation approval process","chromium","Fri Jul 04 13:18:19 ICT 2025","passed","Fri Jul 04 13:18:51 ICT 2025","Resignation Tests","regisnation.spec.ts","",""
"","2956","Login Unsuccessful With Invalid Username","chromium","Fri Jul 04 13:14:11 ICT 2025","passed","Fri Jul 04 13:14:14 ICT 2025","Login Tests","login.spec.ts","",""
"","9272","Create reward with valid information","chromium","Fri Jul 04 13:20:17 ICT 2025","passed","Fri Jul 04 13:20:27 ICT 2025","Reward Employee Tests","reward\reward_employee.spec.ts","",""
"","18611","Add leave application with special leave and send to admin -> admin approve","chromium","Fri Jul 04 13:09:24 ICT 2025","passed","Fri Jul 04 13:09:42 ICT 2025","Leave Application Tests","leave\leave_application.spec.ts","",""
"","10675","Create reward with chosse day reward","chromium","Fri Jul 04 13:21:04 ICT 2025","passed","Fri Jul 04 13:21:15 ICT 2025","Reward Employee Tests","reward\reward_employee.spec.ts","",""
"","7517","Add new notification with existing name","chromium","Fri Jul 04 13:14:25 ICT 2025","passed","Fri Jul 04 13:14:32 ICT 2025","Notification Test Suite","notification\notifition.spec.ts","",""
"","7781","Create department with duplicate name","chromium","Fri Jul 04 12:59:46 ICT 2025","passed","Fri Jul 04 12:59:54 ICT 2025","Department Test","department.spec.ts","",""
"","9386","Edit active status to lock status","chromium","Fri Jul 04 12:54:46 ICT 2025","passed","Fri Jul 04 12:54:56 ICT 2025","Branch Test","branch.spec.ts","",""
"","8541","Edit active status to lock status","chromium","Fri Jul 04 13:00:01 ICT 2025","passed","Fri Jul 04 13:00:10 ICT 2025","Department Test","department.spec.ts","",""
"","8192","Edit all fields","chromium","Fri Jul 04 12:56:18 ICT 2025","passed","Fri Jul 04 12:56:27 ICT 2025","Branch Test","branch.spec.ts","",""
"","8717","Create criteria with activity status","chromium","Fri Jul 04 13:04:35 ICT 2025","passed","Fri Jul 04 13:04:44 ICT 2025","Evaluation Criteria Tests","evaluation\evaluation_criteria.spec.ts","",""
"","8064","Add new notification with holiday notification type","chromium","Fri Jul 04 13:14:39 ICT 2025","passed","Fri Jul 04 13:14:47 ICT 2025","Notification Test Suite","notification\notifition.spec.ts","",""
"","10754","Add with invalid email","chromium","Fri Jul 04 13:02:58 ICT 2025","passed","Fri Jul 04 13:03:09 ICT 2025","Employee Tests","employee.spec.ts","",""
"","13444","Send debt and cancel","chromium","Fri Jul 04 13:27:18 ICT 2025","passed","Fri Jul 04 13:27:31 ICT 2025","Debt Tests","salary\debt.spec.ts","",""
"","7046","Search with no data","chromium","Fri Jul 04 13:13:45 ICT 2025","passed","Fri Jul 04 13:13:52 ICT 2025","Level Test Suite","level.spec.ts","",""
"","6995","Delete level successfully","chromium","Fri Jul 04 13:13:15 ICT 2025","passed","Fri Jul 04 13:13:22 ICT 2025","Level Test Suite","level.spec.ts","",""
"","8090","Add debt with valid value","chromium","Fri Jul 04 13:26:07 ICT 2025","passed","Fri Jul 04 13:26:16 ICT 2025","Debt Tests","salary\debt.spec.ts","",""
"","8281","Create level with blank note","chromium","Fri Jul 04 13:11:38 ICT 2025","passed","Fri Jul 04 13:11:46 ICT 2025","Level Test Suite","level.spec.ts","",""
"","4499","Login Successful With Valid Credentials","chromium","Fri Jul 04 13:13:52 ICT 2025","passed","Fri Jul 04 13:13:56 ICT 2025","Login Tests","login.spec.ts","",""
"","7749","Create duplicate allowance name with backspace","chromium","Fri Jul 04 13:23:51 ICT 2025","passed","Fri Jul 04 13:23:59 ICT 2025","Allowance Tests","salary\allowance.spec.ts","",""
"","10302","Edit short name","chromium","Fri Jul 04 12:55:19 ICT 2025","passed","Fri Jul 04 12:55:29 ICT 2025","Branch Test","branch.spec.ts","",""
"","9967","Add a new evaluation process department form","chromium","Fri Jul 04 13:05:44 ICT 2025","passed","Fri Jul 04 13:05:54 ICT 2025","Evaluation Criteria Tests","evaluation\evaluation_process.spec.ts","",""
"","7884","Create position with existed name","chromium","Fri Jul 04 13:16:26 ICT 2025","passed","Fri Jul 04 13:16:33 ICT 2025","Position Tests","position.spec.ts","",""
"","25073","Search work shift","chromium","Fri Jul 04 13:37:49 ICT 2025","passed","Fri Jul 04 13:38:14 ICT 2025","Work Shift Tests","work_shift\work_shift.spec.ts","",""
"","8522","Create level successfully","chromium","Fri Jul 04 13:11:22 ICT 2025","passed","Fri Jul 04 13:11:31 ICT 2025","Level Test Suite","level.spec.ts","",""
"","7061","Create level with blank name","chromium","Fri Jul 04 13:11:31 ICT 2025","passed","Fri Jul 04 13:11:38 ICT 2025","Level Test Suite","level.spec.ts","",""
"","54763","E2E Payroll and Payment Process with add more employee","chromium","Fri Jul 04 13:31:50 ICT 2025","passed","Fri Jul 04 13:32:45 ICT 2025","Paysheet Tests","salary\paysheet.spec.ts","",""
"","6780","Search by code","chromium","Fri Jul 04 13:13:28 ICT 2025","passed","Fri Jul 04 13:13:35 ICT 2025","Level Test Suite","level.spec.ts","",""
"","8034","Edit department note with empty note","chromium","Fri Jul 04 13:00:55 ICT 2025","passed","Fri Jul 04 13:01:03 ICT 2025","Department Test","department.spec.ts","",""
"","9199","Create with lock status","chromium","Fri Jul 04 12:59:29 ICT 2025","passed","Fri Jul 04 12:59:38 ICT 2025","Department Test","department.spec.ts","",""
"","6897","Edit team code","chromium","Fri Jul 04 13:34:38 ICT 2025","passed","Fri Jul 04 13:34:45 ICT 2025","Team","team.spec.ts","",""
"","14611","Seach","chromium","Fri Jul 04 13:35:29 ICT 2025","passed","Fri Jul 04 13:35:44 ICT 2025","Team","team.spec.ts","",""
"","8050","Edit description","chromium","Fri Jul 04 13:22:49 ICT 2025","passed","Fri Jul 04 13:22:57 ICT 2025","Reward Type Tests","reward\reward_type.spec.ts","",""
"","7573","Edit department name successfully","chromium","Fri Jul 04 13:00:17 ICT 2025","passed","Fri Jul 04 13:00:25 ICT 2025","Department Test","department.spec.ts","",""
"","7694","Create a new team","chromium","Fri Jul 04 13:33:54 ICT 2025","passed","Fri Jul 04 13:34:02 ICT 2025","Team","team.spec.ts","",""
"","69","Clear All Evaluation Criterias","chromium","Fri Jul 04 12:56:53 ICT 2025","passed","Fri Jul 04 12:56:53 ICT 2025","","clearDB.spec.ts","",""
"","7037","Delete user","chromium","Fri Jul 04 13:03:54 ICT 2025","passed","Fri Jul 04 13:04:01 ICT 2025","Employee Tests","employee.spec.ts","",""
"","7771","Search by name","chromium","Fri Jul 04 13:25:42 ICT 2025","passed","Fri Jul 04 13:25:50 ICT 2025","Allowance Tests","salary\allowance.spec.ts","",""
"","6994","Delete Evaluation Criteria","chromium","Fri Jul 04 13:05:11 ICT 2025","passed","Fri Jul 04 13:05:18 ICT 2025","Evaluation Criteria Tests","evaluation\evaluation_criteria.spec.ts","",""
"","21585","Add with basic information and edit information","chromium","Fri Jul 04 13:02:28 ICT 2025","passed","Fri Jul 04 13:02:50 ICT 2025","Employee Tests","employee.spec.ts","",""
"Tìm kiếm loại đánh giá theo tên cụ thể và xác minh kết quả.","6089","Search Evaluation Type","chromium","Fri Jul 04 13:06:47 ICT 2025","passed","Fri Jul 04 13:06:53 ICT 2025","Evaluation Type Tests","evaluation\evaluation_type.spec.ts","",""
"","19040","Send debt and browse","chromium","Fri Jul 04 13:26:41 ICT 2025","passed","Fri Jul 04 13:27:00 ICT 2025","Debt Tests","salary\debt.spec.ts","",""
"","8390","Edit with duplicate branch name","chromium","Fri Jul 04 12:56:10 ICT 2025","passed","Fri Jul 04 12:56:18 ICT 2025","Branch Test","branch.spec.ts","",""
"","8953","Save with empty reward name, employee, reward type, money","chromium","Fri Jul 04 13:21:15 ICT 2025","passed","Fri Jul 04 13:21:23 ICT 2025","Reward Employee Tests","reward\reward_employee.spec.ts","",""
"","8076","Max length of note 500 characters","chromium","Fri Jul 04 13:24:41 ICT 2025","passed","Fri Jul 04 13:24:49 ICT 2025","Allowance Tests","salary\allowance.spec.ts","",""
"","7778","Add Reward Type with empty description","chromium","Fri Jul 04 13:22:41 ICT 2025","passed","Fri Jul 04 13:22:49 ICT 2025","Reward Type Tests","reward\reward_type.spec.ts","",""
"","7728","Create a new team with existing team name","chromium","Fri Jul 04 13:34:02 ICT 2025","passed","Fri Jul 04 13:34:09 ICT 2025","Team","team.spec.ts","",""
"","18232","Search user","chromium","Fri Jul 04 13:04:01 ICT 2025","passed","Fri Jul 04 13:04:20 ICT 2025","Employee Tests","employee.spec.ts","",""
"","7263","Create term with empty name","chromium","Fri Jul 04 12:57:38 ICT 2025","passed","Fri Jul 04 12:57:46 ICT 2025","Term Tests","contract\term.spec.ts","",""
"","8253","Create with duplicate code","chromium","Fri Jul 04 13:11:55 ICT 2025","passed","Fri Jul 04 13:12:03 ICT 2025","Level Test Suite","level.spec.ts","",""
"","18599","Add leave application with social insurance leave and send to admin -> admin approve","chromium","Fri Jul 04 13:08:46 ICT 2025","passed","Fri Jul 04 13:09:04 ICT 2025","Leave Application Tests","leave\leave_application.spec.ts","",""
"","50824","E2E Payroll and Payment Process","chromium","Fri Jul 04 13:30:59 ICT 2025","passed","Fri Jul 04 13:31:50 ICT 2025","Paysheet Tests","salary\paysheet.spec.ts","",""
"","9019","Search by date","chromium","Fri Jul 04 13:21:46 ICT 2025","passed","Fri Jul 04 13:21:55 ICT 2025","Reward Employee Tests","reward\reward_employee.spec.ts","",""
"","7785","Edit name with valid data","chromium","Fri Jul 04 12:58:57 ICT 2025","passed","Fri Jul 04 12:59:04 ICT 2025","Term Tests","contract\term.spec.ts","",""
"","8861","Create with lock status","chromium","Fri Jul 04 13:24:08 ICT 2025","passed","Fri Jul 04 13:24:17 ICT 2025","Allowance Tests","salary\allowance.spec.ts","",""
"","8230","Send notification to company","chromium","Fri Jul 04 13:15:03 ICT 2025","passed","Fri Jul 04 13:15:11 ICT 2025","Notification Test Suite","notification\notifition.spec.ts","",""
"","7609","Edit lock status to active status","chromium","Fri Jul 04 13:00:10 ICT 2025","passed","Fri Jul 04 13:00:17 ICT 2025","Department Test","department.spec.ts","",""
"","12580","Evaluation employee","chromium","Fri Jul 04 13:06:02 ICT 2025","passed","Fri Jul 04 13:06:15 ICT 2025","Evaluation Criteria Tests","evaluation\evaluation_process.spec.ts","",""
"","19465","Add leave application with regular leave and send to admin -> admin approve","chromium","Fri Jul 04 13:08:26 ICT 2025","passed","Fri Jul 04 13:08:46 ICT 2025","Leave Application Tests","leave\leave_application.spec.ts","",""
"","6507","Search by name no existed","chromium","Fri Jul 04 13:16:49 ICT 2025","passed","Fri Jul 04 13:16:55 ICT 2025","Position Tests","position.spec.ts","",""
"","2305","Login Unsuccessful With Empty Password","chromium","Fri Jul 04 13:14:09 ICT 2025","passed","Fri Jul 04 13:14:11 ICT 2025","Login Tests","login.spec.ts","",""
"","8186","Test forgot password with wrong format email","chromium","Fri Jul 04 13:07:06 ICT 2025","passed","Fri Jul 04 13:07:14 ICT 2025","Forgot Password Test Suite","forgot_password.spec.ts","",""
"","9524","Add a new evaluation process company form","chromium","Fri Jul 04 13:05:18 ICT 2025","passed","Fri Jul 04 13:05:27 ICT 2025","Evaluation Criteria Tests","evaluation\evaluation_process.spec.ts","",""
"","8562","Export resignation with no data","chromium","Fri Jul 04 13:19:30 ICT 2025","passed","Fri Jul 04 13:19:39 ICT 2025","Resignation Tests","regisnation.spec.ts","",""
"","2533","Login Unsuccessful With Empty Username","chromium","Fri Jul 04 13:14:07 ICT 2025","passed","Fri Jul 04 13:14:09 ICT 2025","Login Tests","login.spec.ts","",""
"","7921","Create with blank address and note","chromium","Fri Jul 04 12:54:28 ICT 2025","passed","Fri Jul 04 12:54:36 ICT 2025","Branch Test","branch.spec.ts","",""
"","11825","Export excel by all month 05","chromium","Fri Jul 04 13:33:34 ICT 2025","passed","Fri Jul 04 13:33:46 ICT 2025","Paysheet Tests","salary\paysheet.spec.ts","",""
"","7751","Edit note successfully","chromium","Fri Jul 04 13:00:25 ICT 2025","passed","Fri Jul 04 13:00:33 ICT 2025","Department Test","department.spec.ts","",""
"","9244","Edit note","chromium","Fri Jul 04 12:56:01 ICT 2025","passed","Fri Jul 04 12:56:10 ICT 2025","Branch Test","branch.spec.ts","",""
